Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_03,Chrome 116.0.0.0,,,2023-09-22 15:00:56,2023-09-22 15:07:48,6m - 52.325s,FAILED
,,,,,,,
Test Cases/TC_01,Chrome 116.0.0.0,,,2023-09-22 15:00:56,2023-09-22 15:01:29,32.820s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:00:57,2023-09-22 15:01:01,4.090s,PASSED
"navigateToUrl(""https://www.yahoo.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:01:01,2023-09-22 15:01:28,26.375s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Yahoo  Mail, Weather, Search, Politics_802e32/img_Yahoo Home__yb_hd8j6 _yb_typq8""), """")",Chrome 116.0.0.0,,,2023-09-22 15:01:28,2023-09-22 15:01:28,0.656s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:01:28,2023-09-22 15:01:29,0.978s,PASSED
,,,,,,,
Test Cases/TC_02,Chrome 116.0.0.0,,,2023-09-22 15:01:29,2023-09-22 15:01:40,10.676s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:01:30,2023-09-22 15:01:32,2.068s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 116.0.0.0,,,2023-09-22 15:01:32,2023-09-22 15:01:35,3.412s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_Images""))",Chrome 116.0.0.0,,,2023-09-22 15:01:35,2023-09-22 15:01:37,1.671s,PASSED
"setText(findTestObject(""Object Repository/Page_Google Images/textarea__q""), ""cats"")",Chrome 116.0.0.0,,,2023-09-22 15:01:37,2023-09-22 15:01:38,1.020s,PASSED
"click(findTestObject(""Object Repository/Page_Google Images/span_cats""))",Chrome 116.0.0.0,,,2023-09-22 15:01:38,2023-09-22 15:01:39,1.012s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:01:39,2023-09-22 15:01:40,0.845s,PASSED
,,,,,,,
Test Cases/TC_03,Chrome 116.0.0.0,,,2023-09-22 15:01:40,2023-09-22 15:01:48,8.104s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:01:41,2023-09-22 15:01:43,1.993s,PASSED
"navigateToUrl(""https://www.mozilla.org/en-US/firefox/new/?redirect_source=firefox-com"")",Chrome 116.0.0.0,,,2023-09-22 15:01:43,2023-09-22 15:01:44,1.624s,PASSED
"click(findTestObject(""Object Repository/Page_Get Firefox for desktop  Mozilla (US)/a_Firefox Browsers""))",Chrome 116.0.0.0,,,2023-09-22 15:01:44,2023-09-22 15:01:45,0.873s,PASSED
"click(findTestObject(""Object Repository/Page_Get Firefox for desktop  Mozilla (US)/h4_Privacy Promise""))",Chrome 116.0.0.0,,,2023-09-22 15:01:45,2023-09-22 15:01:46,0.532s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Firefox Privacy Promise/h1_Firefox products are designed to protect_73a558""), ""Firefox products are designed to protect your privacy"")",Chrome 116.0.0.0,,,2023-09-22 15:01:46,2023-09-22 15:01:47,1.630s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:01:47,2023-09-22 15:01:48,0.870s,PASSED
,,,,,,,
Test Cases/TC_04,Chrome 116.0.0.0,,,2023-09-22 15:01:48,2023-09-22 15:02:04,15.544s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:01:49,2023-09-22 15:01:51,1.954s,PASSED
"navigateToUrl(""https://www.swiggy.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:01:51,2023-09-22 15:01:54,3.700s,PASSED
"setText(findTestObject(""Object Repository/Page_Order food online from Indias best foo_aa25ef/input_Order food from favourite restaurants_bec356""), ""Nagpur"")",Chrome 116.0.0.0,,,2023-09-22 15:01:54,2023-09-22 15:01:55,1.061s,PASSED
"click(findTestObject(""Object Repository/Page_Order food online from Indias best foo_aa25ef/span_Nagpur, Maharashtra, India""))",Chrome 116.0.0.0,,,2023-09-22 15:01:55,2023-09-22 15:01:56,0.999s,PASSED
"click(findTestObject(""Object Repository/Page_Order food online from Indias best foo_aa25ef/h2_Best offers for you""))",Chrome 116.0.0.0,,,2023-09-22 15:01:56,2023-09-22 15:02:02,5.606s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Order food online from Indias best foo_aa25ef/div_Best offers for you""), ""Best offers for you"")",Chrome 116.0.0.0,,,2023-09-22 15:02:02,2023-09-22 15:02:03,0.641s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:03,2023-09-22 15:02:04,1.007s,PASSED
,,,,,,,
Test Cases/TC_05,Chrome 116.0.0.0,,,2023-09-22 15:02:04,2023-09-22 15:02:12,8.514s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:04,2023-09-22 15:02:06,2.028s,PASSED
"navigateToUrl(""https://www.zomato.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:02:06,2023-09-22 15:02:10,3.394s,PASSED
"rightClick(findTestObject(""Object Repository/Page_Zomato/img_Sign up_high-res-image""))",Chrome 116.0.0.0,,,2023-09-22 15:02:10,2023-09-22 15:02:11,0.826s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Zomato/img_Sign up_high-res-image""), """")",Chrome 116.0.0.0,,,2023-09-22 15:02:11,2023-09-22 15:02:11,0.530s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:11,2023-09-22 15:02:12,0.940s,PASSED
,,,,,,,
Test Cases/TC_30,Chrome 116.0.0.0,,,2023-09-22 15:02:12,2023-09-22 15:02:23,10.761s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:13,2023-09-22 15:02:15,2.106s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 116.0.0.0,,,2023-09-22 15:02:15,2023-09-22 15:02:18,2.594s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_Delete_btnI""))",Chrome 116.0.0.0,,,2023-09-22 15:02:18,2023-09-22 15:02:22,4.191s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:22,2023-09-22 15:02:23,0.975s,PASSED
,,,,,,,
Test Cases/TC_29,Chrome 116.0.0.0,,,2023-09-22 15:02:23,2023-09-22 15:02:29,6.543s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:24,2023-09-22 15:02:26,2.018s,PASSED
"navigateToUrl(""https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AYZoVhcIcg2zCwLEdefYcpyzw6gVVGRcKewMAxaHGzcKCMEL_cg8Xlt1QhTaAQTEmKBeu3vlMmPd&osid=1&passive=1209600&service=mail&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-989371226%3A1695374702134779&theme=glif"")",Chrome 116.0.0.0,,,2023-09-22 15:02:26,2023-09-22 15:02:28,2.396s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Gmail/div_Not your computer Use Guest mode to sig_83e181""), ""Not your computer? Use Guest mode to sign in privately. Learn more"")",Chrome 116.0.0.0,,,2023-09-22 15:02:28,2023-09-22 15:02:29,0.601s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:29,2023-09-22 15:02:29,0.839s,PASSED
,,,,,,,
Test Cases/TC_28,Chrome 116.0.0.0,,,2023-09-22 15:02:29,2023-09-22 15:02:35,5.809s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:30,2023-09-22 15:02:32,1.840s,PASSED
"navigateToUrl(""https://www.apple.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:02:32,2023-09-22 15:02:34,1.941s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Apple/span_Save on Mac or iPad with education pri_ed628a""), ""Save on Mac or iPad with education pricing and get a gift card up to $150. Gift card offer ends October 2.1 Shop now"")",Chrome 116.0.0.0,,,2023-09-22 15:02:34,2023-09-22 15:02:34,0.626s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:34,2023-09-22 15:02:35,0.816s,PASSED
,,,,,,,
Test Cases/TC_27,Chrome 116.0.0.0,,,2023-09-22 15:02:35,2023-09-22 15:02:44,8.247s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:36,2023-09-22 15:02:38,2.095s,PASSED
"navigateToUrl(""https://www.zomato.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:02:38,2023-09-22 15:02:42,3.830s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Zomato/p_Order Online""), ""Order Online"")",Chrome 116.0.0.0,,,2023-09-22 15:02:42,2023-09-22 15:02:43,0.600s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-22 15:02:43,2023-09-22 15:02:44,0.851s,PASSED
,,,,,,,
Test Cases/TC_26,Chrome 116.0.0.0,,,2023-09-22 15:02:44,2023-09-22 15:02:51,7.368s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-22 15:02:44,2023-09-22 15:02:46,1.884s,PASSED
"navigateToUrl(""https://www.swiggy.com/"")",Chrome 116.0.0.0,,,2023-09-22 15:02:46,2023-09-22 15:02:50,3.698s,PASSED
