Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_001,Chrome 116.0.0.0,,,2023-09-18 15:02:49,2023-09-18 15:09:05,6m - 16.059s,PASSED
,,,,,,,
Test Cases/TC_001,Chrome 116.0.0.0,,,2023-09-18 15:02:50,2023-09-18 15:02:59,9.530s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:02:50,2023-09-18 15:02:53,2.441s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-18 15:02:53,2023-09-18 15:02:53,0.155s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:02:53,2023-09-18 15:02:58,4.868s,PASSED
"setText(findTestObject(""Page_Google/textarea__q""), ""gmail"")",Chrome 116.0.0.0,,,2023-09-18 15:02:58,2023-09-18 15:02:58,0.907s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:02:58,2023-09-18 15:02:59,0.728s,PASSED
,,,,,,,
Test Cases/TC_0010,Chrome 116.0.0.0,,,2023-09-18 15:02:59,2023-09-18 15:03:10,11.039s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:00,2023-09-18 15:03:01,1.314s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:01,2023-09-18 15:03:06,4.926s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:06,2023-09-18 15:03:10,3.728s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:03:10,2023-09-18 15:03:10,0.682s,PASSED
,,,,,,,
Test Cases/TC_0011,Chrome 116.0.0.0,,,2023-09-18 15:03:10,2023-09-18 15:03:21,10.742s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:11,2023-09-18 15:03:12,1.326s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:12,2023-09-18 15:03:17,4.931s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:17,2023-09-18 15:03:20,3.471s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:03:20,2023-09-18 15:03:21,0.670s,PASSED
,,,,,,,
Test Cases/TC_0012,Chrome 116.0.0.0,,,2023-09-18 15:03:21,2023-09-18 15:03:30,9.008s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:21,2023-09-18 15:03:23,1.299s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:23,2023-09-18 15:03:28,5.017s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:28,2023-09-18 15:03:29,1.649s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:03:29,2023-09-18 15:03:30,0.666s,PASSED
,,,,,,,
Test Cases/TC_0013,Chrome 116.0.0.0,,,2023-09-18 15:03:30,2023-09-18 15:03:40,10.364s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:30,2023-09-18 15:03:32,1.323s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:32,2023-09-18 15:03:37,5.041s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:37,2023-09-18 15:03:40,2.970s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:03:40,2023-09-18 15:03:40,0.673s,PASSED
,,,,,,,
Test Cases/TC_0014,Chrome 116.0.0.0,,,2023-09-18 15:03:40,2023-09-18 15:03:51,10.933s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:41,2023-09-18 15:03:42,1.310s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:42,2023-09-18 15:03:47,5.108s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:47,2023-09-18 15:03:51,3.481s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:03:51,2023-09-18 15:03:51,0.668s,PASSED
,,,,,,,
Test Cases/TC_0015,Chrome 116.0.0.0,,,2023-09-18 15:03:51,2023-09-18 15:04:01,9.789s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:03:52,2023-09-18 15:03:53,1.319s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:03:53,2023-09-18 15:03:59,5.634s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:03:59,2023-09-18 15:04:00,1.796s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:04:00,2023-09-18 15:04:01,0.670s,PASSED
,,,,,,,
Test Cases/TC_0016,Chrome 116.0.0.0,,,2023-09-18 15:04:01,2023-09-18 15:04:12,10.849s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:04:02,2023-09-18 15:04:03,1.318s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:04:03,2023-09-18 15:04:08,4.939s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:04:08,2023-09-18 15:04:11,3.542s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:04:11,2023-09-18 15:04:12,0.672s,PASSED
,,,,,,,
Test Cases/TC_0017,Chrome 116.0.0.0,,,2023-09-18 15:04:12,2023-09-18 15:04:22,9.716s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:04:12,2023-09-18 15:04:14,1.326s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:04:14,2023-09-18 15:04:19,5.672s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 15:04:19,2023-09-18 15:04:21,1.722s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 15:04:21,2023-09-18 15:04:22,0.665s,PASSED
,,,,,,,
Test Cases/TC_0018,Chrome 116.0.0.0,,,2023-09-18 15:04:22,2023-09-18 15:04:31,9.482s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 15:04:22,2023-09-18 15:04:23,1.303s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 15:04:23,2023-09-18 15:04:29,5.347s,PASSED
